,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50,sample51,sample52,sample53,sample54,sample55,sample56,sample57,sample58,sample59,sample60,sample61,sample62,sample63,sample64,sample65,sample66,sample67,sample68,sample69,sample70,sample71,sample72,sample73,sample74,sample75,sample76,sample77,sample78,sample79,sample80
protein1,1.56574001674578,1.68421432627122,1.6620917529159,1.78897488987634,1.20164933656773,2.02931467891214,1.28392351229034,2.54056370419996,1.25368230471826,1.83693128738805,2.57330256083835,1.88966457667477,2.9975185515865,1.65451561298073,2.33488700869374,1.65969794689903,1.49091743195258,2.54393539644481,1.98447845496284,3.2154671113852,1.77432222135967,1.47222060197903,1.80516141661325,1.51359286713016,1.45671168372559,1.60894741600328,1.91582531157655,1.76826823461076,1.26118761271844,2.11950237218672,1.77100398146143,2.25512995344853,1.66113579371838,1.48145213869444,1.37123287447388,1.52506398876853,2.18900306313417,1.85609802961488,1.66870042906937,2.6042486693167,2.06363796087357,1.37913070493369,1.98883297055016,2.08509120160366,1.43263003091041,2.32358877086323,2.36193051483421,1.96489492619962,1.88757114709812,1.40830359057783,1.78935611542361,1.71202914407269,1.99215850714732,1.62140738525171,1.39139606542222,1.75757197696677,1.91337802302121,2.32418887728346,2.24747149598046,2.52204548579307,1.60035349725239,2.37079708135271,1.72934967303611,1.68929400187913,1.77987751851425,2.28726388188696,1.89461867514711,1.92256978547048,1.81620464082649,1.73875276817817,1.6583261720055,1.64037912566104,1.99025471459258,1.39881879127327,2.06913211496422,1.90362884199571,1.86859313385016,2.25873504465661,1.94118569674327,1.78833116179313
protein2,1.81947091623116,2.01792892947791,2.19823074636157,2.12309643284541,1.69061558972832,2.66237130895351,1.97865689271469,2.23189194695361,1.58972102447191,1.79630197182451,2.10980134555955,1.9467267640102,2.05966491789754,1.98814644520286,1.77795749910087,2.10252238928452,1.81291643800519,2.06755716175624,1.78429456341633,3.34074142821493,1.97618170221722,1.74701178323319,1.93830930639864,1.86124838071776,1.8246735241301,1.98752676113815,2.01936247050665,1.67819751258913,1.82708813244463,1.98986727901918,2.37628006963674,1.86184860719404,1.84574025886233,1.72510155853667,1.81333258658351,2.0554297543014,2.12224637175066,1.98113288578548,2.14577213433537,2.04602723541909,1.89353311524993,1.72487885978766,2.20558046815379,2.26635852599859,1.75643085203638,2.45120179018467,2.16229342978431,1.89804529384832,1.80842475613302,1.65289289520135,1.84234127012627,1.8894500885192,1.75885964635526,1.90044740252024,1.63549063099365,1.82698850001922,1.99538770909706,2.02987571482161,2.52200585219739,2.95757985405982,1.84378646578258,2.33354157471538,2.08758924021865,2.00844351985752,1.90110600906969,2.04268601020658,2.028814885164,2.0442286059314,1.97397348805153,2.07275685962374,1.9068683555355,1.81012672336898,1.95550593110288,1.72604205165496,2.27264227883786,2.12434601407938,1.96686815503373,2.33955477097584,2.06193431153067,1.86565067045138
protein3,2.04793379863202,1.76000097385828,1.86951595031524,1.76140495860896,2.0466103099845,1.89618814266957,2.14692924271431,2.66610451199205,2.0398168163032,1.76680110057665,2.38597769974064,2.05451634579105,2.22139625908748,1.99122355059988,2.16023567572069,1.84753344635128,2.03233291911457,2.40477054489082,1.88426053916087,3.10638812073344,2.12368803495995,1.77467242551389,1.84017324265286,1.88530970136425,1.66471522489147,1.87537053336953,1.96538945316459,2.00120363434441,1.64010617675503,1.98030176589094,2.14827483422111,2.33523163191821,1.97067689879928,1.66882371260806,1.58014605720543,1.87827349409831,1.89328559027075,2.37528381149374,1.90115939565451,2.33937087403527,2.47792493036857,1.80306550417504,1.96103275704663,2.22670196692742,1.99169244347277,2.39699169444765,2.3534243082176,1.84433534412487,1.95759345256976,1.92021367045656,2.07165992271502,2.00585890455509,1.94687319789387,2.00189114209025,1.584771795333,1.95774097858919,1.89209418387762,2.27751440349162,2.05639854836636,2.3962972894333,1.82126016908305,2.38070487509276,2.17180987341638,2.21950637598199,1.93630794281612,2.59733102093106,2.15542967133505,1.93004872243538,1.83177675862994,2.08057178391567,1.99633602456843,2.00850669411259,2.16292071391869,1.78669626406426,2.09348575364638,1.91297146578932,2.05661514149637,1.97537673900224,2.18070772148677,1.95710636479761
protein4,1.99025491437592,1.84728886916778,1.58577404836634,1.54064891106744,1.69108802124226,1.67562594330057,1.55689386956002,2.83215073914029,1.96538106954205,1.68161327893982,2.26860483890041,1.69095083358518,2.21192795251702,1.90754758327951,2.23524924706098,1.98862828858653,1.87152015506528,1.87303815236955,2.44832001130277,1.67754581024269,2.15269596111635,1.20205432902168,2.38784831470943,1.61601402714189,1.58454319950809,1.7937759402518,2.05276556420309,1.89720397907089,1.69058432096676,2.06962712459396,2.08379352743426,2.26829799163358,1.77241252176438,1.50097135239088,1.44273528278338,1.99196272217831,1.85835059725049,1.97005572332579,2.53015323581661,2.04096368032206,2.04171899851664,1.39150095486937,1.88916271322793,2.12899032260422,1.69165818787272,1.99721581593795,2.63030875097904,1.79146754879231,1.97184031746546,1.99069234706779,1.90411109823525,1.70698428148892,1.78810509488118,1.8378479852916,1.68289372399162,1.58492600306698,1.72459744981353,2.49267711871317,1.8951567272918,2.6204045331805,1.6243863623098,2.19213095457872,1.95969109477648,1.69318331647928,1.73518758675271,2.3816738003953,2.14995793825722,1.63615756533953,2.01069680597654,1.83140925668487,1.67336557833273,2.08972036501365,1.93839254632507,1.62684424610974,1.90644588385966,2.19689023107679,1.93554659862889,1.93372073514176,1.75969475831652,1.86392451242109
protein5,1.48424882273326,1.52812176513039,1.52209672544862,1.52789159167563,1.32522830334107,1.62983351656673,1.38448863972383,1.54512297399284,1.38955565660419,1.54877022682284,1.56682311174638,1.42901627200107,1.51978955628235,1.43060846726825,1.53836935035033,1.50061697660337,1.51477831326785,1.53067163304072,1.55145202272714,0.898750422828228,1.50684413849294,1.45649120833364,1.5280054975302,1.6156445669264,1.54620652788191,1.59562594100376,1.55493339619682,1.51209972115843,1.44860104732734,1.50886672313072,1.47300219842197,1.62860859802307,1.40906334536269,1.39990753011782,1.38915210657249,1.41351292941175,1.55095064884906,1.53553779171425,1.40662825093254,1.68444338664222,1.66997310732635,1.32849062333322,1.45601869607445,1.58710467918025,1.45313278795175,1.59760756731013,1.51525758341972,1.4738009220925,1.47385371664285,1.43289714875168,1.44350231790691,1.38907301488981,1.47082158583032,1.55210553730174,1.41301492012554,1.40975989954999,1.43844035441651,1.58284574779936,1.58980463747524,1.71153203874817,1.41610767757286,1.67517772244303,1.4583310623772,1.41331457445989,1.48597900699575,1.65244606130854,1.52145735176389,1.50578626123633,1.50470624248736,1.46492763416515,1.42782215194617,1.52750909036634,1.4931825921477,1.42292010442422,1.44569545996248,1.51336093676701,1.5650723622818,1.43626753162509,1.37627175402109,1.52717741479224
protein6,1.62403633381172,1.770120871298,1.85142648045778,1.86979764059522,1.44014244244061,1.84426697494491,1.65630625399648,1.88804356152525,1.4117481137948,1.80615963836818,2.05945887806195,1.72126661176469,1.9245123888733,1.7146020758819,1.93910067031925,1.84990335802649,1.64358012614978,1.92281434830851,1.68756166575871,2.48661003125084,1.79570648719658,1.62616899762825,1.80678354548123,1.68110470429195,1.67528729309846,1.71019608497019,1.85141100929022,1.553618614507,1.65477725903698,1.67855866280287,1.70917273984422,1.88754072454478,1.67452699314067,1.64852878894443,1.69103136889527,1.77148216624646,1.88999938508693,1.86118672622098,1.77212859162486,1.79876651108398,1.59979400202242,1.69064076413597,1.83780549341053,1.86242385135981,1.54173870476371,1.95455616632715,1.86352454702759,1.91275823386985,1.68657130501062,1.56953259148537,1.71088386902802,1.72140881166368,1.67868419738464,1.67712430693627,1.59943489161358,1.6472535029077,1.73386518369958,1.89485670044451,2.08758095905092,2.12944543746718,1.75718714799126,2.00493352129541,1.72431897645037,1.74781089173142,1.77871952535882,1.85412298291194,1.79346526038237,1.88468821465159,1.769437087369,1.75334273100823,1.61872905486017,1.59631412750638,1.8063630200618,1.61955497446489,1.90983951423964,1.90879501620657,1.78032805043238,1.74870645270845,1.81012424632847,1.73836203566987
protein7,1.84966843810795,1.85001599729495,1.89933301592317,1.86729814944809,1.61424157720575,2.2178256222841,1.77095637841828,2.03296747472172,1.72091046766412,1.84580771900533,2.06184811750171,1.76607017213911,2.16972870372916,1.76581763626827,2.01316381576328,1.79495282529939,1.84003613153706,2.03406007334029,1.85020741945274,2.68618214661416,1.76138838110658,1.65752366728726,1.79831173527504,1.92327132276211,1.81968314526866,1.91992634620599,1.88889060576696,1.76263373171591,1.78311020314896,1.82502295592446,1.75987892639775,1.93047931897044,1.78639426004852,1.74053115010668,1.73736264917,1.79664827770644,1.93276120566811,1.95802035693833,1.9173065851611,2.08617191762942,2.0460892911045,1.6866759479212,1.8166507372353,2.06785307494583,1.8638658608418,1.98728058810654,1.98668834486214,1.83030586332848,1.8450219324793,1.83695033794332,1.86440786484021,1.75035674447293,1.85696648605887,1.952360389688,1.78074765615298,1.7540832317201,1.78560863833627,1.9804819815838,2.03128464507103,2.14937321041088,1.77287278714418,2.07439337914732,1.92147429919077,1.88422252653441,1.88394280424334,2.08014803884126,1.91035480356486,1.91886975049269,1.92699517561269,1.89323552124322,1.85039521541008,1.89169423238558,1.91845993798082,1.80838487526721,1.84131143189247,2.04559703889889,1.90544205323874,1.77966369371358,1.71158921204988,1.87452232593902
protein8,1.59914859868504,1.42915097304427,1.9385746120702,1.82704756188506,1.30660164632191,2.18936965392946,1.71693039755741,2.52097569722531,1.3789282416691,1.69593360276228,2.51689590510073,1.51724963001906,1.92223315812134,1.58915452553409,1.6350367529369,1.58739322915736,1.80825030718963,2.2774149153557,1.53122632014849,2.6981210839395,1.91409614228489,1.6396942459536,1.5151103139296,2.13084525677556,1.43929290383592,2.09253954970971,1.58581324191294,1.50462501128591,1.4221333178716,1.7981262440212,1.26987214619675,1.7434631856084,1.7546492704944,1.23049253141566,1.40338550008017,1.96479985298929,1.55165094616225,2.02360093557204,1.56133311005737,1.71811792683567,1.6676444168927,1.48913402460821,1.56739747197674,2.07773908632507,1.77822651009566,2.43860284375088,2.34870879538332,1.79514096338,1.59605294380741,1.22557642564449,1.66758074265521,1.53374267143766,1.49095619620322,1.79873147452653,1.18008105698694,1.57997263590079,1.58361627667532,2.19078889178573,2.25784204454957,2.55444639797096,1.67572938503012,2.18006741083937,1.99085576138476,1.8645838706214,1.76083255436539,2.38633365449,1.84598071292946,1.5950211295174,1.87517272594139,2.12982428129606,1.72824271702325,1.73806071638747,1.66708448988205,1.33118218086314,1.6422627098373,1.53529002287085,2.01494637113432,1.80603812490299,1.71555755217224,1.59879424240617
protein9,2.00340795373502,1.86397239959467,1.57503938844367,1.51230282864764,1.75975358339865,1.66633277333106,1.59564614277552,2.80373959382212,2.00579427463954,1.69071187671613,2.2429702055479,1.71840991513277,2.16912102204079,1.91967511871179,2.21276011797532,1.97599794185443,1.76823552073619,1.95721048811422,2.29538435377729,2.46318131648921,2.01664090378339,1.28319365825993,2.25575004023138,1.5441899904777,1.53169644653479,1.71252690804876,1.99950216968417,1.88107628375809,1.64142490806979,2.10747971532672,2.08455101565831,2.17359141741695,1.7370797278634,1.44636448964815,1.41022387307154,2.00031950909514,1.86574165356376,2.04664570104265,2.5129811896949,2.08227614599559,2.00879735566245,1.39246770998586,1.87791216266042,2.26884296485253,1.74212400983516,1.9515950857007,2.60928155975709,1.76298199793763,1.95931669919836,1.9941800373161,1.87106325969839,1.67793519715194,1.75992925857429,1.9038867507221,1.70420559367056,1.56488492479482,1.73259091220658,2.47010597702612,1.84368175667065,2.60274849902476,1.65396974150744,2.1441006033681,2.07134242452986,1.76169350090689,1.70041149218459,2.32613657085444,2.12782730301132,1.6004607436697,1.98156077057037,1.8812162201684,1.70494778568691,2.10015402683134,2.1402248886898,1.65422510874896,1.8874789875389,2.18212526908898,1.95430673989041,1.9263099712595,1.71650902651754,1.83174023165573
protein10,1.42117452839792,1.34785238199285,1.07913115859511,1.0908843256415,1.20987650314962,1.19983697260439,1.13405930372468,2.15170332266133,1.569330248396,1.31430646149338,1.7927762437723,1.16763682972773,1.51181474491065,1.40319164657751,1.65110118332825,1.47757662128347,1.32352856486245,1.36733344208733,1.86410245214887,1.67625295945374,1.54183594392787,0.748008989007112,1.85957699123006,1.07929329048652,1.1200399606892,1.2116551783179,1.47643710872216,1.34035276500674,1.22531784592469,1.48434042245007,1.52734077022952,1.67683579171239,1.32300171683863,1.13183265780149,1.09827441787058,1.48044312541048,1.32988195849434,1.39726707378793,1.96634677133972,1.45862650714351,1.53148999552346,0.996822542387744,1.41087552028078,1.53521317372183,1.22560765089581,1.39928658019563,1.94521338019224,1.29206940437247,1.52225580121853,1.49744935782267,1.42300058673578,1.25701597999706,1.38122013013373,1.30166826784648,1.35352349153903,1.13656256103308,1.27068524826658,1.88954195633039,1.24504641987457,1.93074842228703,1.16421842198641,1.51725809422472,1.43332579875986,1.19873193820067,1.27806863477609,1.78704911931284,1.65984333251515,1.23017226447025,1.53893708464725,1.26846062360885,1.15900514689466,1.60174710835891,1.34175782923733,1.18088663031603,1.45093602420653,1.65632443505961,1.36647574779414,1.40470268620124,1.23151031789231,1.36637549096546
protein11,1.80493233586386,1.52438190795296,1.55090986543145,1.54468969653123,1.70735856768133,1.63501474627523,1.75200538017426,2.03954061786457,1.52855239141675,1.57136242232491,2.14338782845593,1.6365741074444,1.72216639524388,1.60063758961839,1.7908770537962,1.82248926087708,1.65365317598442,1.67584633131938,1.87980944236469,1.73032172931226,1.83131348792458,1.31768012565429,1.71285898909621,1.67946616884296,1.27032626185383,2.14375089883659,1.79918016695771,1.6280441409494,1.50969892028906,1.62307815772272,1.81365388022967,2.10619828961474,1.76336322562776,1.5625648306224,1.3856299967867,1.64440066703929,1.57100407311768,1.63817894217575,2.03257823946646,1.66541886882689,1.7688537872858,1.34595596968344,1.76605853406896,1.62410223183855,1.80588235214365,1.97259649502514,2.20712444213192,1.6211675111121,1.70802637297016,1.67263535894806,1.75666727935544,1.48710830290772,1.54102456295019,1.5841984283546,1.70409269013294,1.56947698858968,1.72205429448488,2.00754680497124,1.83387918166225,1.79265267924676,1.92262560479462,1.74616847001852,1.68854702102084,1.63817612654458,1.6805919595248,1.53687395198897,1.68915120709261,1.48992532175909,2.02181382211551,1.70071221104092,1.64381015344241,1.71798532610971,1.65524901965192,1.57691078155952,1.68373553895307,1.8666479047977,1.6722244833117,1.68029498475395,1.8241363388885,1.93481716196216
