"ID","sample","batch"
"sample1",1,1
"sample2",2,1
"sample3",3,1
"sample4",4,1
"sample5",5,1
"sample6",6,1
"sample7",7,1
"sample8",8,1
"sample9",9,1
"sample10",10,1
"sample11",11,1
"sample12",12,1
"sample13",13,1
"sample14",14,1
"sample15",15,1
"sample16",16,1
"sample17",17,2
"sample18",18,2
"sample19",19,2
"sample20",20,2
"sample21",21,2
"sample22",22,2
"sample23",23,2
"sample24",24,2
"sample25",25,2
"sample26",26,2
"sample27",27,2
"sample28",28,2
"sample29",29,2
"sample30",30,2
"sample31",31,2
"sample32",32,2
"sample33",33,3
"sample34",34,3
"sample35",35,3
"sample36",36,3
"sample37",37,3
"sample38",38,3
"sample39",39,3
"sample40",40,3
"sample41",41,3
"sample42",42,3
"sample43",43,3
"sample44",44,3
"sample45",45,3
"sample46",46,3
"sample47",47,3
"sample48",48,3
"sample49",49,4
"sample50",50,4
"sample51",51,4
"sample52",52,4
"sample53",53,4
"sample54",54,4
"sample55",55,4
"sample56",56,4
"sample57",57,4
"sample58",58,4
"sample59",59,4
"sample60",60,4
"sample61",61,4
"sample62",62,4
"sample63",63,4
"sample64",64,4
"sample65",65,5
"sample66",66,5
"sample67",67,5
"sample68",68,5
"sample69",69,5
"sample70",70,5
"sample71",71,5
"sample72",72,5
"sample73",73,5
"sample74",74,5
"sample75",75,5
"sample76",76,5
"sample77",77,5
"sample78",78,5
"sample79",79,5
"sample80",80,5
