	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80
protein1	1.73686333049241	1.85533764001785	1.83321506666253	1.96009820362297	1.37277265031436	2.20043799265877	1.45504682603697	2.71168701794659	1.42480561846489	2.00805460113468	2.74442587458498	2.0607878904214	3.16864186533313	1.82563892672736	2.50601032244037	1.83082126064566	1.78124163852449	2.83425960301672	2.27480266153475	3.50579131795711	2.06464642793158	1.76254480855094	2.09548562318516	1.80391707370207	1.7470358902975	1.89927162257519	2.20614951814846	2.05859244118267	1.55151181929035	2.40982657875863	2.06132818803334	2.54545416002044	1.80035021294933	1.62066655792539	1.51044729370483	1.66427840799949	2.32821748236512	1.99531244884583	1.80791484830033	2.74346308854765	2.20285238010452	1.51834512416465	2.12804738978112	2.22430562083461	1.57184445014137	2.46280319009418	2.50114493406516	2.10410934543058	1.523810380519	1.04454282399871	1.42559534884449	1.34826837749357	1.6283977405682	1.25764661867259	1.0276352988431	1.39381121038765	1.54961725644209	1.96042811070434	1.88371072940134	2.15828471921395	1.23659273067327	2.00703631477359	1.36558890645699	1.32553323530001	1.54297634554388	2.05036270891659	1.65771750217674	1.68566861250011	1.57930346785612	1.5018515952078	1.42142499903513	1.40347795269067	1.75335354162221	1.1619176183029	1.83223094199385	1.66672766902534	1.63169196087979	2.02183387168624	1.7042845237729	1.55142998882276
protein2	1.92328596661348	2.12174397986023	2.30204579674389	2.22691148322773	1.79443064011064	2.76618635933583	2.08247194309701	2.33570699733593	1.69353607485423	1.90011702220683	2.21361639594187	2.05054181439252	2.16347996827986	2.09196149558518	1.88177254948319	2.20633743966684	1.95784112013836	2.21248184388941	1.9292192455495	3.4856661103481	2.12110638435039	1.89193646536636	2.08323398853181	2.00617306285093	1.96959820626327	2.13245144327132	2.16428715263982	1.8231221947223	1.9720128145778	2.13479196115235	2.52120475176991	2.00677328932721	1.84705358614044	1.72641488581478	1.81464591386162	2.05674308157951	2.12355969902877	1.98244621306359	2.14708546161348	2.0473405626972	1.89484644252804	1.72619218706577	2.2068937954319	2.2676718532767	1.75774417931449	2.45251511746278	2.16360675706242	1.89935862112643	1.72785787451697	1.5723260135853	1.76177438851022	1.80888320690315	1.67829276473921	1.81988052090419	1.5549237493776	1.74642161840317	1.91482082748101	1.94930883320556	2.44143897058134	2.87701297244377	1.76321958416653	2.25297469309933	2.0070223586026	1.92787663824147	1.73161983089214	1.87319983202903	1.85932870698645	1.87474242775385	1.80448730987398	1.90327068144619	1.73738217735795	1.64064054519143	1.78601975292533	1.55655587347741	2.10315610066031	1.95485983590183	1.79738197685618	2.17006859279829	1.89244813335312	1.69616449227383
protein3	2.05959122753664	1.7716584027629	1.88117337921986	1.77306238751358	2.05826773888912	1.90784557157419	2.15858667161893	2.67776194089667	2.05147424520782	1.77845852948127	2.39763512864526	2.06617377469567	2.2330536879921	2.0028809795045	2.17189310462531	1.8591908752559	2.16208167841237	2.53451930418862	2.01400929845867	3.23613688003124	2.25343679425775	1.90442118481169	1.96992200195066	2.01505846066205	1.79446398418927	2.00511929266733	2.09513821246239	2.13095239364221	1.76985493605283	2.11005052518874	2.27802359351891	2.46498039121601	2.11396845855385	1.81211527236263	1.72343761696	2.02156505385288	2.03657715002532	2.51857537124831	2.04445095540908	2.48266243378984	2.62121649012314	1.94635706392961	2.1043243168012	2.36999352668199	2.13498400322734	2.54028325420222	2.49671586797217	1.98762690387944	1.85079615371472	1.81341637160152	1.96486262385998	1.89906160570005	1.84007589903883	1.89509384323521	1.47797449647796	1.85094367973415	1.78529688502258	2.17071710463658	1.94960124951132	2.28949999057826	1.71446287022801	2.27390757623772	2.06501257456134	2.11270907712695	1.75840749371417	2.41943057182911	1.9775292222331	1.75214827333343	1.65387630952799	1.90267133481372	1.81843557546648	1.83060624501064	1.98502026481674	1.60879581496231	1.91558530454443	1.73507101668737	1.87871469239442	1.79747628990029	2.00280727238482	1.77920591569566
protein4	2.01680331564043	1.87383727043229	1.61232244963085	1.56719731233195	1.71763642250677	1.70217434456508	1.58344227082453	2.8586991404048	1.99192947080656	1.70816168020433	2.29515324016492	1.71749923484969	2.23847635378153	1.93409598454402	2.26179764832549	2.01517668985104	1.93665837601736	1.93817637332163	2.51345823225485	1.74268403119477	2.21783418206843	1.26719254997376	2.45298653566151	1.68115224809397	1.64968142046017	1.85891416120388	2.11790378515517	1.96234220002297	1.75572254191884	2.13476534554604	2.14893174838634	2.33343621258566	1.81660324011055	1.54516207073705	1.48692600112955	2.03615344052448	1.90254131559666	2.01424644167196	2.57434395416278	2.08515439866823	2.08590971686281	1.43569167321554	1.9333534315741	2.17318104095039	1.73584890621889	2.04140653428412	2.67449946932521	1.83565826713848	1.80673554075833	1.82558757036066	1.73900632152812	1.54187950478179	1.62300031817405	1.67274320858447	1.51778894728449	1.41982122635985	1.5594926731064	2.32757234200604	1.73005195058467	2.45529975647337	1.45928158560267	2.02702617787159	1.79458631806935	1.52807853977215	1.76441502289707	2.41090123653966	2.17918537440158	1.66538500148389	2.0399242421209	1.86063669282923	1.70259301447709	2.11894780115801	1.96761998246943	1.6560716822541	1.93567332000402	2.22611766722115	1.96477403477325	1.96294817128612	1.78892219446088	1.89315194856545
protein5	1.38114841442211	1.42502135681924	1.41899631713747	1.42479118336448	1.22212789502992	1.52673310825558	1.28138823141268	1.44202256568169	1.28645524829304	1.44566981851169	1.46372270343523	1.32591586368992	1.4166891479712	1.3275080589571	1.43526894203918	1.39751656829222	1.48416193486792	1.50005525464079	1.52083564432721	0.868134044428299	1.47622776009301	1.42587482993371	1.49738911913027	1.58502818852647	1.51559014948198	1.56500956260383	1.52431701779689	1.4814833427585	1.41798466892741	1.47825034473079	1.44238582002204	1.59799221962314	1.59541804463728	1.58626222939241	1.57550680584708	1.59986762868634	1.73730534812365	1.72189249098884	1.59298295020713	1.87079808591681	1.85632780660094	1.51484532260781	1.64237339534904	1.77345937845484	1.63948748722634	1.78396226658472	1.70161228269431	1.66015562136709	1.42486763658328	1.38391106869211	1.39451623784734	1.34008693483024	1.42183550577075	1.50311945724217	1.36402884006597	1.36077381949042	1.38945427435694	1.53385966773979	1.54081855741567	1.6625459586886	1.36712159751329	1.62619164238346	1.40934498231763	1.36432849440032	1.4823271744918	1.64879422880459	1.51780551925994	1.50213442873238	1.50105440998341	1.4612758016612	1.42417031944222	1.52385725786239	1.48953075964375	1.41926827192027	1.44204362745853	1.50970910426306	1.56142052977785	1.43261569912114	1.37261992151714	1.52352558228829
protein6	1.82088065173098	1.96696518921726	2.04827079837704	2.06664195851448	1.63698676035987	2.04111129286417	1.85315057191574	2.08488787944451	1.60859243171406	2.00300395628744	2.25630319598121	1.91811092968395	2.12135670679256	1.91144639380116	2.13594498823851	2.04674767594575	1.82209172232271	2.10132594448144	1.86607326193164	2.66512162742377	1.97421808336951	1.80468059380118	1.98529514165416	1.85961630046488	1.85379888927139	1.88870768114312	2.02992260546315	1.73213021067993	1.83328885520991	1.8570702589758	1.88768433601715	2.06605232071771	1.67145000417591	1.64545179997966	1.68795437993051	1.76840517728169	1.88692239612217	1.85810973725621	1.76905160266009	1.79568952211921	1.59671701305765	1.6875637751712	1.83472850444576	1.85934686239504	1.53866171579894	1.95147917736238	1.86044755806283	1.90968124490508	1.5182512984173	1.40121258489205	1.5425638624347	1.55308880507036	1.51036419079132	1.50880430034295	1.43111488502026	1.47893349631438	1.56554517710626	1.72653669385119	1.9192609524576	1.96112543087386	1.58886714139794	1.83661351470209	1.55599896985705	1.5794908851381	1.57476060682472	1.65016406437784	1.58950634184827	1.68072929611749	1.5654781688349	1.54938381247413	1.41477013632607	1.39235520897228	1.6024041015277	1.41559605593079	1.70588059570554	1.70483609767247	1.57636913189828	1.54474753417435	1.60616532779437	1.53440311713577
protein7	1.99995842654131	2.00030598572831	2.04962300435653	2.01758813788145	1.76453156563911	2.36811561071746	1.92124636685164	2.18325746315508	1.87120045609748	1.99609770743869	2.21213810593507	1.91636016057247	2.32001869216252	1.91610762470163	2.16345380419664	1.94524281373275	2.06975978710162	2.26378372890485	2.0799310750173	2.91590580217872	1.99111203667114	1.88724732285182	2.0280353908396	2.15299497832667	2.04940680083322	2.14965000177055	2.11861426133152	1.99235738728047	2.01283385871352	2.05474661148902	1.98960258196231	2.160202974535	1.86364972686572	1.81778661692388	1.8146181159872	1.87390374452364	2.01001667248531	2.03527582375553	1.9945620519783	2.16342738444662	2.1233447579217	1.7639314147384	1.8939062040525	2.14510854176303	1.941121327659	2.06453605492374	2.06394381167934	1.90756133014568	1.62463362774188	1.6165620332059	1.64401956010279	1.52996843973551	1.63657818132145	1.73197208495058	1.56035935141556	1.53369492698268	1.56522033359885	1.76009367684638	1.81089634033361	1.92898490567346	1.55248448240676	1.8540050744099	1.70108599445335	1.66383422179699	1.64706199816564	1.84326723276356	1.67347399748716	1.68198894441499	1.69011436953499	1.65635471516552	1.61351440933238	1.65481342630788	1.68157913190312	1.57150406918951	1.60443062581477	1.80871623282119	1.66856124716104	1.54278288763588	1.47470840597218	1.63764151986132
protein8	1.87955834924899	1.70956072360822	2.21898436263415	2.10745731244901	1.58701139688586	2.46977940449341	1.99734014812136	2.80138544778926	1.65933799223305	1.97634335332623	2.79730565566468	1.79765938058301	2.20264290868529	1.86956427609804	1.91544650350085	1.86780297972131	1.9733008360851	2.44246544425117	1.69627684904396	2.86317161283497	2.07914667118036	1.80474477484907	1.68016084282507	2.29589578567103	1.60434343273139	2.25759007860518	1.75086377080841	1.66967554018138	1.58718384676707	1.96317677291667	1.43492267509222	1.90851371450387	1.63411040319532	1.10995366411658	1.28284663278109	1.84426098569021	1.43111207886317	1.90306206827295	1.44079424275828	1.59757905953659	1.54710554959362	1.36859515730913	1.44685860467766	1.95720021902598	1.65768764279657	2.3180639764518	2.22816992808423	1.67460209608091	1.51860952587909	1.14813300771617	1.59013732472689	1.45629925350934	1.4135127782749	1.72128805659821	1.10263763905862	1.50252921797247	1.506172858747	2.11334547385741	2.18039862662125	2.47700298004264	1.5982859671018	2.10262399291105	1.91341234345644	1.78714045269308	1.51335456013337	2.13885566025798	1.59850271869744	1.34754313528538	1.62769473170937	1.88234628706404	1.48076472279123	1.49058272215545	1.41960649565003	1.08370418663112	1.39478471560528	1.28781202863883	1.7674683769023	1.55856013067097	1.46807955794022	1.35131624817415
protein9	1.8772687702826	1.73783321614225	1.44890020499125	1.38616364519522	1.63361439994623	1.54019358987864	1.4695069593231	2.6776004103697	1.87965509118712	1.56457269326371	2.11683102209548	1.59227073168035	2.04298183858837	1.79353593525937	2.0866209345229	1.84985875840201	1.86043791474451	2.04941288212254	2.38758674778561	2.55538371049753	2.10884329779171	1.37539605226825	2.3479524342397	1.63639238448602	1.62389884054311	1.80472930205708	2.09170456369249	1.97327867776641	1.73362730207811	2.19968210933504	2.17675340966663	2.26579381142527	1.85470357294886	1.56398833473361	1.527847718157	2.1179433541806	1.98336549864922	2.16426954612811	2.63060503478036	2.19989999108105	2.12642120074791	1.51009155507132	1.99553600774588	2.38646680993799	1.85974785492062	2.06921893078616	2.72690540484255	1.88060584302309	1.85401546788594	1.88887880600368	1.76576202838597	1.57263396583952	1.65462802726187	1.79858551940968	1.59890436235814	1.4595836934824	1.62728968089416	2.3648047457137	1.73838052535823	2.49744726771234	1.54866851019502	2.03879937205568	1.96604119321744	1.65639226959447	1.72202566785565	2.3477507465255	2.14944147868238	1.62207491934076	2.00317494624143	1.90283039583946	1.72656196135797	2.1217682025024	2.16183906436086	1.67583928442002	1.90909316320996	2.20373944476004	1.97592091556147	1.94792414693056	1.7381232021886	1.85335440732679
protein10	1.51801684039645	1.44469469399138	1.17597347059364	1.18772663764003	1.30671881514815	1.29667928460292	1.23090161572321	2.24854563465986	1.66617256039453	1.41114877349191	1.88961855577083	1.26447914172626	1.60865705690918	1.50003395857604	1.74794349532678	1.574418933282	1.59339421647468	1.63719909369956	2.1339681037611	1.94611861106597	1.8117015955401	1.01787464061934	2.12944264284229	1.34915894209875	1.38990561230143	1.48152082993013	1.74630276033439	1.61021841661897	1.49518349753692	1.7542060740623	1.79720642184175	1.94670144332462	1.20034541977419	1.00917636073705	0.975618120806145	1.35778682834604	1.2072256614299	1.27461077672349	1.84369047427528	1.33597021007907	1.40883369845902	0.874166245323305	1.28821922321634	1.41255687665739	1.10295135383137	1.27663028313119	1.8225570831278	1.16941310730803	1.31651168645503	1.29170524305917	1.21725647197228	1.05127186523356	1.17547601537023	1.09592415308298	1.14777937677553	0.930818446269574	1.06494113350308	1.68379784156689	1.03930230511107	1.72500430752353	0.958474307222907	1.31151397946122	1.22758168399636	0.992987823437171	1.23976108299327	1.74874156753002	1.62153578073233	1.19186471268743	1.50062953286443	1.23015307182603	1.12069759511184	1.56343955657609	1.30345027745451	1.14257907853321	1.41262847242371	1.61801688327679	1.32816819601132	1.36639513441842	1.19320276610949	1.32806793918264
