Protein_FDR_Confidence_Combined	Master	Accession	Description	Coverage[%]	No.Peptides	No.PSMs	No.Unique_Peptides	MW[kDa]	Gene_Symbol	Abundance_1_0	Abundance_1_1	Abundance_1_2	Abundance_1_3	Abundance_1_4	Abundance_1_5	Abundance_1_6	Abundance_1_7	Abundance_1_8	Abundance_1_9	Abundance_1_10	Abundance_1_11	Abundance_1_12	Abundance_1_13	Abundance_1_14	Abundance_1_15	Abundance_2_0	Abundance_2_1	Abundance_2_2	Abundance_2_3	Abundance_2_4	Abundance_2_5	Abundance_2_6	Abundance_2_7	Abundance_2_8	Abundance_2_9	Abundance_2_10	Abundance_2_11	Abundance_2_12	Abundance_2_13	Abundance_2_14	Abundance_2_15	Abundance_3_0	Abundance_3_1	Abundance_3_2	Abundance_3_3	Abundance_3_4	Abundance_3_5	Abundance_3_6	Abundance_3_7	Abundance_3_8	Abundance_3_9	Abundance_3_10	Abundance_3_11	Abundance_3_12	Abundance_3_13	Abundance_3_14	Abundance_3_15	Abundance_4_0	Abundance_4_1	Abundance_4_2	Abundance_4_3	Abundance_4_4	Abundance_4_5	Abundance_4_6	Abundance_4_7	Abundance_4_8	Abundance_4_9	Abundance_4_10	Abundance_4_11	Abundance_4_12	Abundance_4_13	Abundance_4_14	Abundance_4_15	Abundance_5_0	Abundance_5_1	Abundance_5_2	Abundance_5_3	Abundance_5_4	Abundance_5_5	Abundance_5_6	Abundance_5_7	Abundance_5_8	Abundance_5_9	Abundance_5_10	Abundance_5_11	Abundance_5_12	Abundance_5_13	Abundance_5_14	Abundance_5_15
High	Master Protein	P00724	Invertase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SUC2 PE=1 SV=1	42	18	384	18	60.6	SUC2	1985.3	4637.9	2171.8	3718.3	1103.2	2617.5	791.8	4641.9	995.4	6481	4624.2	6381.3	6537.7	3617.5	7617.6	3503.4	2273.9	8308.9	7126.8	474.7	4936.1	4299.3	5797.5	1541	5962.9	1995.9	7637	8326.2	3155.6	11259	6080.8	9846.4	5016.5	6904.1	4327.5	2274.6	15149.2	4440.8	2493	14172.1	7321	3613.7	11336.4	5263.9	2156.4	6899.1	6045.6	9941	2061.5	296.7	935.4	1321.7	4050.5	417.6	539.7	1396.7	1875.9	1865.3	1007.8	1238.1	548.1	2284.2	432.7	497.7	3038.2	2566	2614	6092.2	1931.7	1159.8	1184.4	1198.9	1845.1	820.5	6167	3080.2	2091.9	6760.7	3721.9	2612.2
High	Master Protein	P12111	Collagen alpha-3(VI) chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=5	49	123	965	123	343.5	COL6A3	4485.3	15587.1	15494.8	11385.4	9489.2	19799.3	14077.2	1439.8	3659.7	4043.5	904	6109.3	402.8	11953.8	822	18685	4893	1147.3	1851.7	458.2	6228.5	7945.7	5511.1	3509.3	18048	5073.5	6445.3	2964.9	28017.3	3882.4	42476.8	1406.7	6257.4	12291.6	23364.8	14077.3	6500.1	4206.7	10813.3	1253.3	2109.7	11091.8	16021.3	6221	5345.7	6649	1866.9	4059.2	5727.6	5266.5	4694.7	15396.4	5224.5	6199.8	13615.8	8724.9	11082	1787.3	7809.3	13263.9	8040	5892.6	7489.2	8365.9	8098.4	1302.2	6806.4	16191.8	5681.5	7646.1	5710.6	3972.3	2122.6	8013.6	22412.9	12349.8	4547	12906.1	9225.7	5442.3
High	Master Protein	P02768	Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2	80	60	789	60	69.3	ALB	8139.5	3169.3	2655.3	1696.9	36475.9	919.2	19959.3	4176.6	20730	2375.9	1591.9	6529.1	488.5	8014.5	2313.5	3975.7	11870.5	3199.1	2577.4	295.5	10742.5	8430.8	3449.4	3638.5	7550.1	3048.3	4870.1	11435.4	9806.3	3527.8	15196.6	7362.6	22131.2	19616.4	14092.5	11955.4	4536.7	40178.5	6936.3	5712	39675.9	36384.5	10215.9	9226.7	33736	9110.9	5953.1	5972.2	10601.2	19595.5	12440.9	24898.6	11924.9	8894.3	8500.8	15018	5902.4	4184	1283.6	1908.9	6270	6387.6	9691.3	19887.4	9308.1	10542.1	11928.4	8590.9	2761.2	7624.6	8549.5	10369.7	4983.7	10835.4	9172.7	4281.8	6656.4	2540.9	15711.6	8292.4
High	Master Protein	P68871	Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2	97	16	589	9	16	HBB	6750.8	5045.2	860.5	715.6	6412.4	440.5	1426.9	7336.4	15534.9	1747.4	1161.6	1482.8	495.9	5885.8	3188.1	7969	4463.3	479	18076.4	21.4	9277.2	409.5	25425.5	935.1	3673.4	1698.3	5340.8	5459.4	9112.4	3882	8805.9	4577.9	5417.6	4573.5	3798.5	12793.5	2606.6	4809.2	68658.5	1429.8	4564.7	2313.5	4825.4	4322.9	4803.6	1520.4	11054.3	3072	8502.1	20939.4	4208.8	3709.6	3940.5	3060.3	10847.1	1598.8	1968.2	7643.4	573.3	3298.9	1706.4	2467.1	2913	1285.5	9603.3	10203.4	31066.1	5485.7	17551.7	6258.2	4802.4	44493.4	4625.3	14236.8	10093.7	45648	9962.6	5229.3	5598.8	14779
High	Master Protein	P60709	"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1"	55	17	567	7	41.7	ACTB	419.2	654.6	382.7	393.8	511.4	235.2	357	89.1	509.2	554.8	90.1	280.6	50.8	386.8	167.2	507.7	626.5	118.7	376.6	4.6	437.3	869.7	488.8	632.4	1884.9	524	481.8	662.8	1577.4	305.7	444.4	321.3	1901.9	5722.8	6206.7	1686.5	1316.4	1404.9	983.8	677.5	1805.7	3546.1	1346.3	926.9	3000.5	603.5	373.8	1425.6	1256	1886.1	805.8	1265.3	1412.2	1356.1	4231.7	1176.4	860.8	362.3	286.2	241.2	1066.5	526.5	525.6	596.9	2216.8	551.5	1345.5	2358.8	1327.8	958.5	1200.7	2202.2	595.1	3626.7	961.5	1445.2	1505	517.4	751.4	2267.5
High	Master Protein	P08670	Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4	81	40	462	36	53.6	VIM	2866.5	7707.4	5348.9	5813.2	4248.8	1480.5	4916.8	659.4	2425	6339.5	1030.8	3479.2	358.4	5316.9	2035.1	9173.3	2714.9	805.3	1447.5	108.3	3401.1	5251.2	3675.8	1933	10143.3	1913.3	3739	1989.4	13632.2	1324.9	2918.8	1742.6	2725.6	7903.5	11576.2	3689.2	2443.6	2492.6	2107.2	521.5	632.7	9005	3130.6	1290.4	1833.8	1101	649.8	4246.7	2004.9	2072.6	1639.7	3938	2218.3	1393.6	6380.8	2173.6	2027	759.5	1148.3	646	3304.4	1184.5	1008.7	1635.6	3583.9	554.4	1891	5938.6	1807.9	1450	1145.8	1133.4	965.7	3550.6	3378.4	3701.2	1614.2	843.8	2318.4	2396.1
High	Master Protein	P62736	"Actin, aortic smooth muscle OS=Homo sapiens OX=9606 GN=ACTA2 PE=1 SV=1"	59	18	462	8	42	ACTA2	6271.5	8970	5379.3	4732.2	8146.3	4768	6719.5	895.7	8655.2	6151	899.9	3453.4	621.7	5429.3	2244.9	5834.6	7952.2	1350.9	3333	168.3	3646.2	7770.8	4386.4	6377.9	26847.3	5434.9	5356.2	6227.4	34632.9	2847.9	4490.5	2448.5	6768.7	20232.7	23361.2	6021.8	4064.9	5254.3	5589.8	1878.1	5309.9	13596.8	4058.6	3879.8	13089.7	1652	1319.6	4207.5	3415.6	6702.3	2668.1	3481.4	4223.1	4066.2	14076.5	2889	2023.8	864	771.4	581	2744.8	1266.6	1922.4	2428.2	5218.5	1161.2	2817	5977.4	3284.7	2396.8	3082.1	4267.1	1356.2	8736.1	2083.8	6106.2	2486.4	836.6	1229.6	4044.7
High	Master Protein	P02452	Collagen alpha-1(I) chain OS=Homo sapiens OX=9606 GN=COL1A1 PE=1 SV=6	38	44	456	43	138.8	COL1A1	3704.8	2389.2	10939.5	6898.6	3292.3	6858.8	9526.3	6137.4	3100.9	5642.2	5440.7	2084.9	449	4405.8	926.9	4131.3	5232.5	2386.3	746.5	153.4	5239.9	5252.8	1040.8	11407.9	2931.5	8370.4	1206.7	1512.8	3797.8	1997.9	430.6	986.4	2284.1	425.9	1225.5	5247.3	371.2	3011.8	509.3	261.5	517.8	1610.8	571	1881.2	3279.4	4103.8	2337.4	1518.6	2008.5	521.8	2060.2	2350.8	1353.5	3863	854.2	2457.1	1518.6	3356.4	2995.1	3543.8	3467	3301.4	4940	4326.8	2604.7	3600.8	1973.5	1060.7	2435.7	6930.2	1591.5	1861.5	440.9	522.3	767.7	496	3952.3	896.2	1190.9	946.8
High	Master Protein	P69905	Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2	94	12	394	12	15.2	HBA1; HBA2	3667.9	2717.2	433.8	334.9	4176.3	246.8	846.1	4174.5	9017.1	932.9	671.3	870.7	288.4	3132.1	1706.8	3813.7	3206.4	682.6	11064.2	89.3	5921.7	684.4	16468	779.4	3231.1	1367.3	4802.8	5727.6	8124.6	4991.1	9904.8	3585.5	6488.1	5068.1	4765.7	18705.2	3640.8	9043.1	87578.6	2132.6	5376.3	3456.3	6338.8	9831.2	8797.2	1680	13266.7	3739.5	10773.5	29564.3	4785.4	4370.4	4630.4	5597.6	17822.7	1965.7	2737	8818.7	591.1	3791.1	2691.9	2581.6	6242	2345	7704.5	8012	26975.6	4385.2	14718.3	7630.3	5411.1	45131.8	10639.4	15958.4	8893.4	40981	10496.8	4897.6	4381.9	12077.9
High	Master Protein	P02042	Hemoglobin subunit delta OS=Homo sapiens OX=9606 GN=HBD PE=1 SV=2	93	13	365	6	16	HBD	762.6	715.9	138.2	145.7	787.5	103.3	283.2	1097.6	3205.3	477.1	333.8	216.1	86.5	839	510	1117.1	1006.4	183.7	4114.9	30.6	1741.4	125.4	6671.5	242.2	1008.5	375.2	1184.6	1165.6	2355.3	889.7	1991.2	1132.3	293.2	245.8	223.2	547.9	147.1	213.8	2910.3	105.1	296.2	111.8	284.7	230.8	218.4	97.7	569.5	166.6	730	1141.1	344.2	271.4	401.9	192.2	1126.1	126	177.6	644.5	45.4	296.4	132.7	156.6	234.3	104.8	628.4	808.6	2201.5	474.3	1325.1	323.6	265	2689.6	267.9	733.8	835.8	2435.7	504.5	387.6	316.2	841.5
